,age_building,count_floors_pre_eq,height_ft_pre_eq,plinth_area_sq_ft,land_surface_condition,foundation_type,roof_type,ground_floor_type,other_floor_type,position,plan_configuration,has_superstructure_adobe_mud,has_superstructure_mud_mortar_stone,has_superstructure_stone_flag,has_superstructure_cement_mortar_stone,has_superstructure_mud_mortar_brick,has_superstructure_cement_mortar_brick,has_superstructure_timber,has_superstructure_bamboo,has_superstructure_rc_non_engineered,has_superstructure_rc_engineered,condition_post_eq,has_geotechnical_risk,has_geotechnical_risk_fault_crack,has_geotechnical_risk_flood,has_geotechnical_risk_land_settlement,has_geotechnical_risk_landslide,has_geotechnical_risk_liquefaction,has_geotechnical_risk_other,has_geotechnical_risk_rock_fall,damage_grade
347823,22,2,18,216,0,2,2,2,2,3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4
483196,15,3,25,361,0,2,2,2,1,0,2,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2
488643,38,2,14,341,1,2,2,2,2,3,0,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,2
409988,50,3,21,300,1,2,2,1,2,3,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,2
374533,20,2,20,479,0,2,1,2,2,3,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,2
23211,10,2,15,350,0,2,1,2,2,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
519086,8,1,12,221,0,2,1,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3439,33,2,16,300,0,2,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4
396140,19,2,16,320,0,2,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3
495803,20,3,21,250,0,2,2,2,2,3,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,4
390066,10,3,24,506,0,2,1,2,2,3,0,1,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,3
453291,4,2,13,284,0,2,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,1,4
475071,19,2,14,315,0,2,1,2,1,3,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
372631,20,2,18,432,0,2,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2
50784,13,2,12,280,0,1,1,1,2,3,0,0,1,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2
548880,22,2,13,405,0,2,2,2,2,3,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3
256269,50,2,15,350,0,2,2,2,2,3,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,3
51157,35,2,16,450,0,2,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3
43355,50,2,14,407,0,2,1,2,2,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
111763,120,5,30,235,1,2,1,2,2,2,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3
258770,23,3,19,450,0,2,2,2,2,3,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
294764,10,2,14,200,0,2,2,2,2,3,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,4
474413,30,3,21,510,0,2,1,2,1,3,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
